contract_no,field_name,seller,secondary_seller,general_contractor,contract_qty,created_at,updated_at,memo,contract_date,start_date,jv,unit_price
1170700001,（仮称）konomi 日本橋浜町 新築工事,ウチダ商事㈱ 熊谷営業所,ウチダ商事㈱ 熊谷営業所,㈱ 白石地所,,2026-06-25T05:29:08.254324+00:00,2026-06-25T05:29:08.254324+00:00,,,,,
40800012,（仮称）中央区月島４丁目９計画 新築工事,三谷商事㈱　東京支店,NC建材　㈱,小原建設　株式会社,1000,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:39:01.591211+00:00,,,,,20000.0
1084700007,（仮称）墨田区千歳２丁目計画,三谷商事㈱　東京支店,大葉セラム　㈱,馬淵建設株式会社,900,2026-06-11T06:02:57.227792+00:00,2026-06-25T05:55:48.410229+00:00,,,,,
1011500015,社会福祉法人賛育会　新病院・新施設新築工事,スミセ建材　㈱,三谷商事㈱　東京支店,株式会社　三浦工務店,2100,2026-06-11T06:02:57.066166+00:00,2026-06-25T05:55:50.396846+00:00,,,,,
1600035,（仮称）東京都墨田区亀沢４丁目計画新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,村中建設 株式会社,1000,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:06:27.697367+00:00,,,,,
2800034,（仮称）墨田区立川４丁目プロジェクト新築工事,塚本建材　㈱　東京支店,塚本建材　㈱　東京支店,株式会社 小川建設,450,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:12:42.527025+00:00,,,,,
1075100003,新小名木川水門耐震補強工事（その５－２）その２,三谷商事㈱　東京支店,三谷商事㈱　東京支店,ＣＲＳ株式会社,600,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:33:42.901137+00:00,,,,,
115100050,住建ＬＴ（仮称）錦糸１丁目計画新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 リンク・トラスト,750,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:34:47.508486+00:00,,,,,
3600226,（仮称）ロイジェント平井計画新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,大和ハウス工業 株式会社,1250,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:35:37.127355+00:00,,,,,
86600039,（仮称）江東区木場２丁目計画 新築工事,三谷商事㈱　千葉支店,山一興産　㈱,株式会社　ウラタ,880,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:38:17.446899+00:00,,,,,
10800035,（仮称）墨田区太平１丁目マンション 新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 竹徳,600,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:39:36.001763+00:00,,,,,
1167400001,（仮称）亀戸４丁目新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 IXSIM Communication,500,2026-06-11T06:02:57.227792+00:00,2026-06-24T06:39:53.986256+00:00,,,,,
1168500001,（仮称）SD四ツ木DUE 新築工事,阪和興業㈱　土木建材部　土木建材第2課,阪和興業㈱　土木建材部　土木建材第2課,信和建設株式会社/大神田建設株式会社,1000,2026-06-11T03:44:25.486709+00:00,2026-06-25T05:55:51.257823+00:00,,,,,
49100034,（仮称）浅草橋二丁目計画,スミセ建材　㈱,三谷商事㈱　東京支店,大豊建設　株式会社,1300.0,2026-06-11T03:44:25.486709+00:00,2026-06-25T05:55:51.37967+00:00,,,,,
