delivery_date,field_no,contract_no,slip_no,delivery_qty,batch_id
2026-05-01,002-1,1167300001,1,4.75,
2026-05-01,002-1,1167300001,2,4.75,
2026-05-01,002-1,1167300001,3,4.75,
2026-05-01,002-1,1167300001,4,4.75,
2026-05-01,002-1,1167300001,5,4.75,
2026-05-01,002-1,1167300001,6,4.75,
2026-05-01,002-1,1167300001,7,4.75,
2026-05-01,002-1,1167300001,8,4.75,
2026-05-01,002-1,1167300001,9,4.75,
2026-05-01,002-1,1167300001,10,4.75,
2026-05-01,002-1,1167300001,11,4.75,
2026-05-01,002-1,1167300001,12,4.75,
2026-05-01,002-1,1167300001,13,4.75,
2026-05-01,002-1,1167300001,14,4.75,
2026-05-01,002-1,1167300001,15,4.75,
2026-05-01,002-1,1167300001,16,4.75,
2026-05-01,002-1,1167300001,17,4.75,
2026-05-01,002-1,1167300001,18,4.75,
2026-05-01,002-1,1167300001,19,4.75,
2026-05-01,002-1,1167300001,20,4.75,
2026-05-01,002-1,1167300001,21,4.75,
2026-05-01,002-1,1167300001,22,4.75,
2026-05-01,002-1,1167300001,23,4.75,
2026-05-01,002-1,1167300001,24,4.75,
2026-05-01,002-1,1167300001,25,4.75,
2026-05-01,002-1,1167300001,26,4.75,
2026-05-01,002-1,1167300001,27,4.75,
2026-05-01,002-1,1167300001,28,4.75,
2026-05-01,002-1,1167300001,29,4.75,
2026-05-01,002-1,1167300001,30,4.75,
2026-05-01,002-1,1167300001,31,4.75,
2026-05-01,002-1,1167300001,32,4.75,
2026-05-01,002-1,1167300001,33,4.75,
2026-05-01,002-1,1167300001,34,4.75,
2026-05-01,002-1,1167300001,35,4.75,
2026-05-01,002-1,1167300001,36,4.75,
2026-05-01,002-1,1167300001,37,4.75,
2026-05-01,002-1,1167300001,38,2.5,
2026-05-01,005-1,1108200006,1,0.5,
2026-05-01,006-1,1108200006,1,5.0,
2026-05-01,006-1,1108200006,2,5.0,
2026-05-01,006-1,1108200006,3,5.0,
2026-05-01,006-1,1108200006,4,5.0,
2026-05-01,006-1,1108200006,5,5.0,
2026-05-01,006-1,1108200006,6,5.0,
2026-05-01,006-1,1108200006,7,5.0,
2026-05-01,006-1,1108200006,8,5.0,
2026-05-01,006-1,1108200006,9,5.5,
2026-06-01,001-1,111400022,1,0.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,1,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,2,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,3,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,4,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,5,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,6,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,7,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,8,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,9,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,10,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,11,5.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-01,025-1,18700047,1,5.5,
2026-05-01,025-1,18700047,2,5.5,
2026-05-01,025-1,18700047,3,5.5,
2026-05-01,025-1,18700047,4,5.5,
2026-05-01,025-1,18700047,5,5.5,
2026-05-01,025-1,18700047,6,5.5,
2026-05-01,025-1,18700047,7,5.5,
2026-05-01,025-1,18700047,8,5.5,
2026-05-01,025-1,18700047,9,5.5,
2026-05-01,025-1,18700047,10,5.5,
2026-05-01,025-1,18700047,11,5.0,
